DD/MM/YYYY_HH:MM:SS,IgorTime,EddyFluxCO2,StorageFluxCO2,EddyIsofluxDel13CO2,StorageIsofluxDel13CO2,EddyIsofluxDel18CO2,StorageIsofluxDel18CO2,EddyFlux626,StorageFlux626,EddyFlux636,StorageFlux636,EddyFlux268,StorageFlux268
(EST),(EST),(umol/m2/s),(umol/m2/s),(permilVPDB*umol/m2/s),(permilVPDB*umol/m2/s),(permilVSMOW*umol/m2/s),(permilVSMOW*umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s),(umol/m2/s)
16/09/2011_00:35:12,3398978113,7.758211017,0.3264949,-177.1988508,-0.032682389,162.7508906,-6.8987212,7.631586008,0.32138059,0.083370429,0.003592554,0.031247867,0.001261666
16/09/2011_01:15:12,3398980512,5.527387467,-0.83343768,-109.8304827,-3.3894141,14.02464283,-32.476841,5.438720273,-0.82012898,0.059595279,-0.009205907,0.021866997,-0.003417182
16/09/2011_01:55:12,3398982912,1.61391308,0.18905251,-66.77868134,4.3887959,-15.64349058,-20.986731,1.588462044,0.1861165,0.017024069,0.002129033,0.00630879,0.000663578
16/09/2011_02:35:12,3398985313,8.578567977,0.2603403,-213.0038214,-2.3945751,71.13652483,14.51928,8.441836109,0.25620201,0.092034319,0.002837662,0.034136175,0.00108476
16/09/2011_03:15:12,3398987712,1.733092075,-0.8381207,-154.2498833,18.425911,40.0336649,-56.29771,1.706654925,-0.82487279,0.017383201,-0.009018945,0.007002561,-0.003530269
16/09/2011_03:55:12,3398990112,11.25445367,-0.49044159,-239.6173703,-5.6588459,18.1448086,35.768021,11.07714741,-0.48280701,0.121203095,-0.005459759,0.044495914,-0.001795043
16/09/2011_04:35:12,3398992513,3.107454597,0.57389492,-92.52454369,-14.75006,-116.2015828,-14.11793,3.059468347,0.56507379,0.033185932,0.006155069,0.011811395,0.002210491
16/09/2011_05:15:12,3398994913,4.426423615,1.832527,-77.69972779,-40.081032,-10.75499056,-30.904051,4.357035003,1.8042229,0.047855429,0.019729471,0.017431194,0.007113683
16/09/2011_05:55:12,3398997312,8.318405056,-1.320401,-147.3216754,44.85009,-19.47879646,42.70821,8.189631364,-1.300269,0.089936348,-0.01404305,0.032767146,-0.005046105
16/09/2011_06:35:12,3398999712,-3.098563835,-2.0134101,121.5187827,35.32795,-276.559232,-51.91888,-3.048870857,-1.981847,-0.032748831,-0.021767629,-0.013318447,-0.008152904
16/09/2011_07:15:12,3399002113,-6.134354072,-1.9215471,130.6876977,26.033751,-360.6098656,-57.91296,-6.036702626,-1.891304,-0.066050781,-0.02085772,-0.025632731,-0.007813464
16/09/2011_07:55:12,3399004512,-10.09840757,-0.37746471,301.7539554,43.240139,-353.6680654,36.201679,-9.939744851,-0.37214369,-0.107803458,-0.003684764,-0.041258447,-0.001349764
16/09/2011_08:35:12,3399006912,-9.377091315,-2.190491,210.0837308,35.18961,-409.9059817,-81.593323,-9.226123143,-2.156008,-0.100834631,-0.023716271,-0.03861783,-0.008968456
16/09/2011_09:15:12,3399009313,-10.03906035,0.1302668,271.3810691,6.8812628,-547.3781517,17.65424,-9.881262774,0.1280636,-0.107483609,0.00150707,-0.041788428,0.000583187
16/09/2011_09:55:12,3399011713,-13.93972275,-0.37469649,496.9578052,2.8466561,-238.8589253,-1.191726,-13.72677081,-0.3688181,-0.147991844,-0.004092212,-0.055993548,-0.001483926
