          PRES      TMPC      DWPC
       1023.00     15.40     11.60
        965.00     10.40      9.40
        954.00     10.60      5.60
        921.00      8.40      1.40
        906.00      7.40      3.60
        901.00      7.40      3.60
        896.00      7.60     -0.40
        891.00      7.60     -0.40
        806.00      2.20     -1.00
        792.00      2.20     -0.10
        785.00      2.60     -0.80
        768.00      1.60     -2.50
        761.00      1.80     -5.20
        756.00      2.00    -14.00
        752.00      1.80    -23.20
        740.00      1.40    -35.60
        713.00     -0.50    -14.50
        709.00     -0.70    -22.70
        704.00     -1.10    -27.10
        689.00     -1.90    -12.90
        668.00     -4.10    -11.10
        663.00     -3.90    -10.90
        654.00     -4.10    -15.10
        624.00     -5.10    -20.10
        577.00     -9.50    -27.50
        566.00     -9.30    -41.30
        555.00    -10.10    -35.10
        549.00    -10.30    -52.30
        543.00    -11.10    -37.10
        514.00    -14.50    -41.50
        497.00    -15.90    -60.90
        423.00    -24.90    -66.90
        412.00    -25.30    -67.30
        398.00    -27.50    -68.50
        380.00    -28.90    -68.90
        312.00    -38.90    -75.90
        293.00    -41.10    -78.10
        280.00    -41.30    -78.30
        235.00    -47.10    -82.10
        225.00    -46.70    -81.70
        216.00    -48.50    -82.50
        208.00    -47.50    -82.50
        192.00    -51.50    -84.50
        178.00    -53.50    -86.50
        169.00    -54.10    -87.10
        165.00    -53.10    -86.10
        138.00    -57.70    -89.70
        125.00    -57.70    -89.70
        123.00    -58.70    -89.70
        120.00    -58.10    -90.10
        108.00    -60.90    -91.90
