STID = CHH           STNM =    74494   TIME = 110919/1200
 SLAT =  41.66     SLON =   -69.96   SELV =    16.0
    TTAA   1200
          PRES      TMPC      DWPC      DRCT      SPED      HGHT
       1023.00     15.40     11.60     40.00      6.18  -9999.00
       1000.00     13.40     10.40     40.00     10.81    210.00
        925.00      8.60      2.60     55.00      9.78    861.00
        850.00      5.40     -0.60     55.00      7.72   1557.00
        700.00     -1.30    -23.30     20.00      9.27   3122.00
        500.00    -15.70    -52.70    310.00     14.93   5740.00
        400.00    -27.10    -68.10    310.00     22.14   7380.00
        300.00    -40.10    -77.10    305.00     27.28   9400.00
        250.00    -45.50    -80.50    310.00     28.83  10630.00
        200.00    -49.30    -83.30    270.00     19.05  12100.00
        150.00    -55.70    -87.70    270.00     16.99  13960.00
        100.00    -61.10    -92.10    290.00      8.24  16500.00
    TRPA   1200
          PRES      TMPC      DWPC      DRCT      SPED
        108.00    -60.90    -91.90    265.00     11.84
    MXWA   1200
          PRES      DRCT      SPED
        269.00    310.00     31.40
    TTBB   1200
          PRES      TMPC      DWPC
       1023.00     15.40     11.60
        965.00     10.40      9.40
        954.00     10.60      5.60
        921.00      8.40      1.40
        906.00      7.40      3.60
        901.00      7.40      3.60
        896.00      7.60     -0.40
        891.00      7.60     -0.40
        806.00      2.20     -1.00
        792.00      2.20     -0.10
        785.00      2.60     -0.80
        768.00      1.60     -2.50
        761.00      1.80     -5.20
        756.00      2.00    -14.00
        752.00      1.80    -23.20
        740.00      1.40    -35.60
        713.00     -0.50    -14.50
        709.00     -0.70    -22.70
        704.00     -1.10    -27.10
        689.00     -1.90    -12.90
        668.00     -4.10    -11.10
        663.00     -3.90    -10.90
        654.00     -4.10    -15.10
        624.00     -5.10    -20.10
        577.00     -9.50    -27.50
        566.00     -9.30    -41.30
        555.00    -10.10    -35.10
        549.00    -10.30    -52.30
        543.00    -11.10    -37.10
        514.00    -14.50    -41.50
        497.00    -15.90    -60.90
        423.00    -24.90    -66.90
        412.00    -25.30    -67.30
        398.00    -27.50    -68.50
        380.00    -28.90    -68.90
        312.00    -38.90    -75.90
        293.00    -41.10    -78.10
        280.00    -41.30    -78.30
        235.00    -47.10    -82.10
        225.00    -46.70    -81.70
        216.00    -48.50    -82.50
        208.00    -47.50    -82.50
        192.00    -51.50    -84.50
        178.00    -53.50    -86.50
        169.00    -54.10    -87.10
        165.00    -53.10    -86.10
        138.00    -57.70    -89.70
        125.00    -57.70    -89.70
        123.00    -58.70    -89.70
        120.00    -58.10    -90.10
        108.00    -60.90    -91.90
    PPBB   1200
          HGHT      DRCT      SPED
          0.00     40.00      6.18
        305.00     40.00     10.81
        610.00     50.00      9.78
        914.00     55.00      9.78
       1219.00     60.00     11.33
       1524.00     55.00      7.72
       1829.00     85.00      6.69
       2134.00     70.00      6.18
       2438.00     15.00      7.72
       2743.00     10.00      7.72
       3353.00     15.00      8.24
       3658.00    325.00      5.15
       4267.00    325.00      9.78
       4877.00    310.00     14.41
       6096.00    300.00     15.96
       7620.00    310.00     22.65
       9144.00    305.00     24.71
      10058.00    310.00     31.40
      11887.00    275.00     15.44
      12497.00    270.00     24.71
      15240.00    275.00     13.38
    TTCC   1200
          PRES      TMPC      DWPC      DRCT      SPED      HGHT
         70.00    -60.90    -91.90    285.00     10.30  18720.00
         50.00    -56.50    -88.50    355.00      4.12  20840.00
         30.00    -51.70    -84.70    145.00      7.21  24110.00
         20.00    -51.70    -84.70     60.00     10.30  26730.00
    TTDD   1200
          PRES      TMPC      DWPC
         92.70    -62.10    -92.10
         89.80    -60.50    -91.50
         78.70    -59.70    -90.70
         72.20    -62.30    -92.30
         65.50    -59.30    -90.30
         62.20    -59.70    -90.70
         60.40    -56.50    -88.50
         56.90    -56.10    -88.10
         51.50    -58.30    -89.30
         47.90    -54.50    -87.50
         41.80    -56.90    -88.90
         36.70    -55.50    -87.50
         34.20    -52.30    -85.30
         31.40    -50.90    -84.90
         27.20    -54.30    -87.30
         23.00    -50.70    -84.70
         20.70    -52.50    -85.50
         18.10    -48.90    -82.90
         16.80    -50.10    -84.10
         16.20    -48.30    -82.30
         15.20    -49.10    -83.10
         13.00    -45.10    -80.10
         11.70    -45.90    -80.90
    PPDD   1200
          HGHT      DRCT      SPED
      17374.00    260.00      4.63
      17678.00    290.00      8.24
      17983.00    280.00      8.75
      18288.00    240.00      9.78
      18593.00    245.00     12.87
      18898.00    315.00     10.30
      19202.00    280.00      7.72
      19507.00    285.00     10.30
      19812.00    315.00      5.15
      20422.00    210.00      0.51
      21336.00    100.00      2.06
      21946.00    350.00      5.66
      22250.00     15.00      7.21
      23165.00     70.00      5.15
      23774.00    125.00      7.72
      24079.00    145.00      7.72
      24384.00     50.00      7.21
      24994.00     70.00      7.72
