year,month,seq.from.1990.days,doy,wind.sp,wind.dir,eddy.t,eddy.q,o3.mlb,no.y,s.no.y,co,s.co,f.co2,f.mom,f.heat,f.h2o,f.o3,f.no.y,r.net,par.12.7,par.29,rh.27.9m,rh.22.6m,rh.15.4m,rh.7.6m,rh.2.5m,ta.27.9m,ta.22.6m,ta.15.4m,ta.7.6m,ta.2.5m,ts.srfm,ts.50m,ts.20m,co2,co2.stg,p.amb,ts.srf.adj,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011,9,7930,260,1.4,358,7.7,7,0.0,0.0,0.0,0.0,0.0,0.0,-89.5,-18.4,0.0,0.0,0.0,-17,0.0,15.87795716,74.2,84.6,86.3,0.0,92.3,4.3,0.0,0.0,0.0,0.0,11.9,0.0,0.0,385.1,0.0,99761,0.0,0.0,0.0
2011,9,7930.0417,260.0417,1.9,345,8.1,6.8,0.0,0.0,0.0,0.0,0.0,2.2,-287.1,-46.4,0.07248,0.0,0.0,-21,0.0,15.56457642,68.9,81.7,82.6,0.0,92.4,4.4,0.0,0.0,0.0,0.0,11.5,0.0,0.0,384.35,0.0,99771,0.0,0.0,0.0
2011,9,7930.0833,260.0833,2.9,341,7.9,6.9,0.0,0.0,0.0,0.0,0.0,1.8,-1697.1,-72.3,0.1241,0.0,0.0,-21,0.0,0,69.9,74.2,71.1,0.0,91.8,4.8,0.0,0.0,0.0,0.0,11.3,0.0,0.0,383.75,-1.9,99765,0.0,0.0,0.0
2011,9,7930.125,260.125,2.7,333,7.2,7.1,0.0,0.0,0.0,0.0,0.0,1.8,-1019.6,-65.2,-0.04014,0.0,0.0,-22,0.0,0,75.1,74.2,72.8,0.0,87.3,4.7,0.0,0.0,0.0,0.0,11.3,0.0,0.0,384.5,2,99787,0.0,0.0,0.0
2011,9,7930.1667,260.1667,2.8,338,7,6.8,0.0,0.0,0.0,0.0,0.0,2.7,-2207.7,-87.7,0.04565,0.0,0.0,-24,0.0,15.66903667,74.2,75.2,70.8,0.0,84.2,4.5,0.0,0.0,0.0,0.0,11.4,0.0,0.0,387.05,0.0,99806,0.0,0.0,0.0
2011,9,7930.2083,260.2083,2.6,346,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,-2870.8,-73.7,0.0,0.0,0.0,-16,0.0,42.51531949,74.6,75,71,0.0,82.9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.2,0.0,99987,0.0,0.0,0.0
2011,9,7930.25,260.25,1.7,29,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-976.3,6.4,0.0,0.0,0.0,81,0.0,272.8501585,73.5,73.6,68.9,0.0,86.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100038,0.0,0.0,0.0
2011,9,7930.2917,260.2917,2.5,33,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2623,42.8,0.0,0.0,0.0,215,0.0,589.4691595,65.6,61.4,59.5,0.0,73.6,10,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,100088,0.0,0.0,0.0
2011,9,7930.3333,260.3333,1.9,35,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1891.5,99,0.0,0.0,0.0,335,0.0,850.9331513,60.5,55.7,55.1,0.0,66.5,11.6,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,100188,0.0,0.0,0.0
2011,9,7930.375,260.375,1.4,37,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1511.5,155.4,0.0,0.0,0.0,491,0.0,1196.801021,54.3,49,50.2,0.0,62.2,13,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,100188,0.0,0.0,0.0
