datetime,year,month,doy,hour,seq.day.90,seq.time.90,obs.nee,obs.fco2,fco2.corr,ustar,nee,resp.e,gee,c.flag1,c.flag2,obs.ta.27m,ta.27m.filled,ta1.flag1,ta1.flag2,ta1.flag3,ta1.flag4,ta.2.5m,ta.2.5m.filled,ta5.flag1,ta5.flag2,ta5.flag3,ta5.flag4,par.28m,par.28m.filled,p.flag1,p.flag2,p.flag3,p.flag4,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011-09-17T00:00,2011,9,260,0,7930,7930,0.0,0.0,0.0,9.5,4.88,5.65,-0.77,1,1,0.0,4.3,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-17T01:00,2011,9,260,1,7930,7930.0417,0.0,0.0,0.0,16.9,4.89,5.65,-0.75,1,1,0.0,4.4,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-17T02:00,2011,9,260,2,7930,7930.0833,-0.1,1.8,1.9,41.2,1.9,1.9,0,0,1,0.0,4.8,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2011-09-17T03:00,2011,9,260,3,7930,7930.125,3.8,1.8,1.3,31.9,1.3,1.3,0,0,1,0.0,4.7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0
2011-09-17T04:00,2011,9,260,4,7930,7930.1667,0.0,2.7,0.79,47,0.79,5.64,-4.86,0,1,0.0,4.5,0,0,0,0,0.0,0.0,0,0,0,0,15,16,0,0,0,0,0.0,0.0
2011-09-17T05:00,2011,9,260,5,7930,7930.2083,0.0,0.0,0.0,53.6,3.63,5.63,-1.99,1,1,0.0,5,0,0,0,0,0.0,0.0,0,0,0,0,41,43,0,0,0,0,0.0,0.0
2011-09-17T06:00,2011,9,260,6,7930,7930.25,0.0,0.0,0.0,31.2,-4.61,5.55,-10.16,1,1,0.0,7.4,0,0,0,0,0.0,0.0,0,0,0,0,261,273,0,0,0,0,0.0,0.0
2011-09-17T07:00,2011,9,260,7,7930,7930.2917,0.0,0.0,0.0,51.2,-11.63,5.46,-17.09,1,1,0.0,10,0,0,0,0,0.0,0.0,0,0,0,0,564,589,0,0,0,0,0.0,0.0
2011-09-17T08:00,2011,9,260,8,7930,7930.3333,0.0,0.0,0.0,43.5,-15.45,5.42,-20.87,1,1,0.0,11.6,0,0,0,0,0.0,0.0,0,0,0,0,815,851,0,0,0,0,0.0,0.0
2011-09-17T09:00,2011,9,260,9,7930,7930.375,0.0,0.0,0.0,38.9,-19,5.37,-24.37,1,1,0.0,13,0,0,0,0,0.0,0.0,0,0,0,0,1146,1197,0,0,0,0,0.0,0.0
2011-09-17T10:00,2011,9,260,10,7930,7930.4167,0.0,0.0,0.0,33.4,-17.83,5.35,-23.19,1,1,0.0,13.5,0,0,0,0,0.0,0.0,0,0,0,0,1020,1065,0,0,0,0,0.0,0.0
