year	month	day	hour	minute	second	OOA1	OOA2	SO4	NH4	NO3	Correction factor
2005	3	31	10	0	0	0.40847	0.0421348	0.0319269	0.0822862	0.033046	2
2005	3	31	10	10	0	0.56168	0.0523541	0.0401332	0.0962188	0.0346216	2
2005	3	31	10	20	0	0.390273	0.098903	0.049558	0.0588295	0.0354588	2
2005	3	31	10	30	0	0.365808	0.0182034	0.069131	0.0289826	0.0192477	2
2005	3	31	10	40	0	0.489504	0.0709074	0.0622639	-0.0211103	0.0368557	2
2005	3	31	10	50	0	0.398208	0.189699	0.0820094	0.0292542	0.0463958	2
2005	3	31	11	0	0	0.46573	0.145517	0.0678498	0.0620042	0.032976	2
2005	3	31	11	10	0	0.425942	0.0824982	0.0405771	0.0675553	0.0317124	2
2005	3	31	11	20	0	nan	nan	nan	nan	nan	2
2005	3	31	11	30	0	nan	nan	nan	nan	nan	2
2005	3	31	11	40	0	nan	nan	nan	nan	nan	2
2005	3	31	11	50	0	nan	nan	nan	nan	nan	2
2005	3	31	12	0	0	0.521755	0.0493461	0.0414558	-0.0142665	0.0351025	2
2005	3	31	12	10	0	0.498189	0.0858623	0.0533935	0.0270992	0.0241003	2
2005	3	31	12	20	0	0.526731	0.054491	0.0709216	-0.00808822	0.0291864	2
2005	3	31	12	30	0	0.537932	0.0395678	0.0348057	0.0203986	0.0377675	2
2005	3	31	12	40	0	0.455481	0.188739	0.0437556	0.000745531	0.0372214	2
2005	3	31	12	50	0	0.536419	0.0217199	0.0652829	-0.0148796	0.0389815	2
2005	3	31	13	0	0	0.541676	0.0966022	0.0748317	0.0475235	0.0468167	2
2005	3	31	13	10	0	0.52727	0.072747	0.0959358	0.0363352	0.0513724	2
2005	3	31	13	20	0	0.444543	0.111185	0.0395967	0.0576273	0.0408428	2
2005	3	31	13	30	0	0.477283	0.0937998	0.152462	0.0447861	0.0355786	2
2005	3	31	13	40	0	0.424049	0.107642	0.018532	-0.00254642	0.0355907	2
2005	3	31	13	50	0	0.495979	0.0394136	0.0340733	0.0296889	0.0391284	2
2005	3	31	14	0	0	0.538318	0.00161409	0.0666231	0.0399714	0.040267	2
2005	3	31	14	10	0	0.560038	6.47E-06	0.0465248	0.0448687	0.0388112	2
2005	3	31	14	20	0	0.645968	4.72E-06	0.0541328	0.0324089	0.0478255	2
2005	3	31	14	30	0	nan	nan	nan	nan	nan	2
2005	3	31	14	40	0	0.636395	0.00652826	0.0455307	0.0112721	0.0373885	2
2005	3	31	14	50	0	0.485892	9.08E-07	0.0365222	0.0538332	0.0277143	2
2005	3	31	15	0	0	0.478064	0.029154	0.018174	0.0330734	0.026375	2
2005	3	31	15	10	0	0.405761	6.60E-07	0.00375997	-0.00950094	0.0168079	2
2005	3	31	15	20	0	0.381426	1.01E-06	0.0235049	0.0126143	0.0274821	2
2005	3	31	15	30	0	0.379362	6.96E-07	0.0344579	0.036164	0.0283732	2
2005	3	31	15	40	0	0.498535	8.70E-06	0.0312935	0.019516	0.0249126	2
2005	3	31	15	50	0	0.347674	2.15E-06	0.0341265	-0.0265285	0.0297778	2
2005	3	31	16	0	0	0.433581	0.0245809	0.0231899	-0.0039283	0.0274294	2
2005	3	31	16	10	0	0.474799	0.000328181	0.0341186	0.0302132	0.0457285	2
2005	3	31	16	20	0	0.472336	0.0612365	0.0445988	0.0220711	0.0380024	2
2005	3	31	16	30	0	0.356413	0.0694193	0.026441	0.0399801	0.0295058	2
2005	3	31	16	40	0	0.342291	0.0326507	0.0513319	0.0342718	0.0261197	2
2005	3	31	16	50	0	0.437193	0.0775481	0.055789	0.0104405	0.0263599	2
2005	3	31	17	0	0	0.439927	0.00438591	0.0173632	0.0217195	0.0247835	2
2005	3	31	17	10	0	0.354928	0.0936316	0.0537354	0.0577775	0.0286379	2
2005	3	31	17	20	0	0.402243	0.00272052	0.0134437	-0.0148518	0.0188443	2
2005	3	31	17	30	0	0.369425	0.0376021	0.0224005	0.0270167	0.020786	2
2005	3	31	17	40	0	0.371708	2.85E-06	0.0468618	0.0528921	0.0168533	2
2005	3	31	17	50	0	0.338815	3.92E-06	0.0245973	0.0602252	0.0356836	2
2005	3	31	18	0	0	0.307799	2.67E-06	0.0467584	0.0671904	0.0260098	2
2005	3	31	18	10	0	0.360931	2.43E-06	0.0233721	-0.00627459	0.020239	2
2005	3	31	18	20	0	0.349978	2.88E-06	0.0219779	0.0596845	0.0188054	2
2005	3	31	18	30	0	0.348201	6.17E-06	0.017426	0.0416389	0.0220104	2
2005	3	31	18	40	0	0.285068	0.0742786	0.019337	0.0718462	0.0246135	2
2005	3	31	18	50	0	0.44655	1.66E-05	0.0212063	0.0588679	0.0268434	2
2005	3	31	19	0	0	0.286727	0.146871	0.0165699	0.0652227	0.0184602	2
2005	3	31	19	10	0	0.347626	0.133545	0.0347425	0.0334589	0.0251369	2
2005	3	31	19	20	0	0.437722	2.33E-06	0.0366658	0.0067278	0.0265096	2
2005	3	31	19	30	0	0.446956	0.0705863	0.0230205	0.0579273	0.0277875	2
2005	3	31	19	40	0	0.347345	0.154506	0.00644493	0.0224329	0.027441	2
2005	3	31	19	50	0	0.379811	0.183084	0.0198895	0.0811862	0.0331691	2
2005	3	31	20	0	0	0.384747	0.142482	0.0118187	-0.00379485	0.0329995	2
2005	3	31	20	10	0	0.2752	0.205248	0.0260243	0.00948167	0.0273589	2
2005	3	31	20	20	0	0.306756	0.201533	0.0262522	0.0436997	0.0367364	2
2005	3	31	20	30	0	0.374728	0.121984	0.0176813	0.00866658	0.0359886	2
2005	3	31	20	40	0	0.423196	0.0735111	0.0526143	0.0186947	0.026585	2
2005	3	31	20	50	0	0.359475	0.136087	0.0384742	0.0117828	0.0354742	2
2005	3	31	21	0	0	0.289404	0.193529	0.0237049	0.0164071	0.0228937	2
2005	3	31	21	10	0	0.360105	0.282389	0.0246475	-0.00157272	0.0335676	2
2005	3	31	21	20	0	0.294376	0.278137	0.0327191	-0.0273699	0.0397518	2
2005	3	31	21	30	0	0.407506	0.155371	0.00505415	0.0181323	0.033316	2
2005	3	31	21	40	0	0.344405	0.242233	0.0164162	0.0340226	0.0352576	2
2005	3	31	21	50	0	0.33107	0.245107	0.0146855	0.0116999	0.0369852	2
2005	3	31	22	0	0	0.271117	0.269635	0.0276791	0.0421173	0.034724	2
2005	3	31	22	10	0	0.297104	0.293201	0.018331	-0.01379	0.0496075	2
2005	3	31	22	20	0	0.296497	0.252457	0.0404763	0.056923	0.0469291	2
2005	3	31	22	30	0	0.413438	0.217243	0.0590208	0.0660783	0.0432716	2
2005	3	31	22	40	0	0.293714	0.30864	0.0108921	0.0758237	0.0399632	2
2005	3	31	22	50	0	0.422779	0.214865	0.0206231	0.0429898	0.0438759	2
2005	3	31	23	0	0	0.31435	0.306459	0.0245417	0.0562122	0.0476492	2
2005	3	31	23	10	0	0.349124	0.327108	0.0180772	-0.015787	0.0578993	2
2005	3	31	23	20	0	0.136124	0.419512	0.0511596	0.0047851	0.0480611	2
2005	3	31	23	30	0	0.380204	0.26368	0.0214284	-0.00613057	0.0592745	2
2005	3	31	23	40	0	0.269266	0.330996	0.0441664	0.0306909	0.0629641	2
2005	3	31	23	50	0	0.291184	0.323382	0.0347034	0.0263825	0.0483784	2
2005	4	1	0	0	0	0.234316	0.350541	0.037491	-0.0163745	0.0446774	2
2005	4	1	0	10	0	0.318147	0.255337	0.0144538	0.0382172	0.0943639	2
2005	4	1	0	20	0	0.391901	0.173139	0.0414826	0.0021779	0.0512488	2
2005	4	1	0	30	0	0.177695	0.407229	0.0596218	0.0839757	0.0525614	2
2005	4	1	0	40	0	0.196978	0.307944	0.041061	0.0149002	0.0426229	2
2005	4	1	0	50	0	0.282293	0.292889	0.107315	0.0134023	0.0451644	2
2005	4	1	1	0	0	0.376086	0.294141	0.0607493	0.0291083	0.0653592	2
2005	4	1	1	10	0	0.270873	0.223372	0.0411966	0.0696482	0.0537005	2
2005	4	1	1	20	0	0.131735	0.474987	0.0487386	-0.00660855	0.0470719	2
2005	4	1	1	30	0	0.238893	0.348774	0.0320352	0.0446952	0.0487851	2
2005	4	1	1	40	0	0.179707	0.381419	0.0654914	-0.00017602	0.183715	2
2005	4	1	1	50	0	0.205193	0.350853	0.101783	-0.0178706	0.0527055	2
2005	4	1	2	0	0	0.199655	0.398948	0.0840447	0.0607659	0.112977	2
2005	4	1	2	10	0	0.235651	0.407466	0.069377	0.0705916	0.0592503	2
2005	4	1	2	20	0	0.303996	0.440027	0.045663	0.0381998	0.0633683	2
2005	4	1	2	30	0	0.29344	0.352435	0.0785316	0.12005	0.0710049	2
2005	4	1	2	40	0	0.276401	0.365293	0.0379648	0.0439034	0.057978	2
2005	4	1	2	50	0	0.291124	0.446577	0.0423702	0.0623647	0.0680798	2
2005	4	1	3	0	0	0.281453	0.370252	0.08028	0.0321141	0.0834335	2
2005	4	1	3	10	0	0.324459	0.428032	0.0415467	0.0615159	0.0851772	2
2005	4	1	3	20	0	0.327904	0.415763	0.0523134	0.045131	0.0750631	2
2005	4	1	3	30	0	0.253224	0.527708	0.0412929	0.0506569	0.0947554	2
2005	4	1	3	40	0	0.322523	0.440816	0.0648014	0.0338657	0.062398	2
2005	4	1	3	50	0	0.313756	0.505377	0.0343349	0.0269218	0.0712355	2
2005	4	1	4	0	0	0.285607	0.497652	0.0387919	0.0375807	0.0872775	2
2005	4	1	4	10	0	0.289194	0.475925	0.061108	0.0542012	0.0760218	2
2005	4	1	4	20	0	0.310912	0.526892	0.0444709	0.0731071	0.0891336	2
2005	4	1	4	30	0	0.193164	0.587766	0.0674223	0.0628615	0.110095	2
2005	4	1	4	40	0	0.200005	0.672834	0.0519842	0.126098	0.091249	2
2005	4	1	4	50	0	0.276762	0.523375	0.125122	0.092661	0.0973328	2
2005	4	1	5	0	0	0.204985	0.593041	0.0701563	0.0268721	0.145161	2
2005	4	1	5	10	0	0.341683	0.549221	0.0656458	0.0303892	0.115288	2
2005	4	1	5	20	0	0.228354	0.73731	0.0435186	0.094282	0.109047	2
2005	4	1	5	30	0	0.292612	0.594199	0.0477148	0.0886095	0.098682	2
2005	4	1	5	40	0	0.26199	0.646824	0.0377436	0.0430976	0.109984	2
2005	4	1	5	50	0	0.224002	0.738435	0.0626292	0.0400479	0.107847	2
2005	4	1	6	0	0	0.319649	0.586494	0.0741361	0.0659657	0.0973468	2
2005	4	1	6	10	0	0.330829	0.629454	0.0654319	0.0332186	0.135474	2
2005	4	1	6	20	0	0.237736	0.639297	0.0885701	0.0449607	0.113176	2
2005	4	1	6	30	0	0.232882	0.748586	0.0577433	0.0921446	0.107628	2
2005	4	1	6	40	0	0.348216	0.652298	0.0869958	0.0595837	0.139153	2
2005	4	1	6	50	0	0.347236	0.553859	0.0552435	0.0919823	0.113005	2
2005	4	1	7	0	0	0.338455	0.68545	0.0491085	0.0736679	0.15631	2
2005	4	1	7	10	0	0.394115	0.631201	0.0917931	0.0823818	0.146618	2
2005	4	1	7	20	0	0.472719	0.497928	0.0848736	0.0991603	0.107201	2
2005	4	1	7	30	0	0.371599	0.556752	0.0943085	0.0820299	0.135017	2
2005	4	1	7	40	0	nan	nan	nan	nan	nan	2
2005	4	1	7	50	0	nan	nan	nan	nan	nan	2
2005	4	1	8	0	0	nan	nan	nan	nan	nan	2
2005	4	1	8	10	0	nan	nan	nan	nan	nan	2
2005	4	1	8	20	0	nan	nan	nan	nan	nan	2
2005	4	1	8	30	0	0.350984	0.485768	0.109534	0.0375938	0.0702808	2
2005	4	1	8	40	0	0.401557	0.269076	0.0817806	0.0481369	0.0615367	2
2005	4	1	8	50	0	0.27737	0.305935	0.0671252	0.082468	0.0678346	2
2005	4	1	9	0	0	0.320792	0.320567	0.0693854	0.0345426	0.0616621	2
2005	4	1	9	10	0	0.393253	0.265829	0.0766597	0.0462697	0.0613988	2
2005	4	1	9	20	0	0.235461	0.305451	0.0459682	0.076212	0.0579413	2
2005	4	1	9	30	0	0.189916	0.252801	0.0613585	0.0506391	0.0499519	2
2005	4	1	9	40	0	0.26445	0.253557	0.178963	0.0279275	0.0481815	2
2005	4	1	9	50	0	0.256104	0.213414	0.0493163	0.0395649	0.0446524	2
2005	4	1	10	0	0	0.405774	0.117746	0.0788342	0.053775	0.0409519	2
2005	4	1	10	10	0	0.299165	0.225011	0.0879088	0.0100802	0.0494097	2
2005	4	1	10	20	0	0.272269	0.177154	0.0950591	-0.0109947	0.0282871	2
2005	4	1	10	30	0	0.349376	0.0223621	0.162505	0.033006	0.0319685	2
2005	4	1	10	40	0	0.327104	0.0451611	0.0457798	0.0685662	0.0280611	2
2005	4	1	10	50	0	0.258858	0.11038	0.0249132	0.0679125	0.0202058	2
2005	4	1	11	0	0	0.232911	0.0536202	0.0385879	0.0277463	0.0254363	2
2005	4	1	11	10	0	0.293081	0.0333763	0.0625166	0.0206022	0.0344876	2
2005	4	1	11	20	0	0.309592	0.0815347	0.0916237	0.0439347	0.0145171	2
2005	4	1	11	30	0	0.244567	0.133214	0.0343395	0.0155345	0.0165236	2
2005	4	1	11	40	0	0.288993	0.0908135	0.0431419	0.0199965	0.0165258	2
2005	4	1	11	50	0	0.281129	0.0309687	0.0416814	0.0585074	0.0223597	2
2005	4	1	12	0	0	0.231996	0.113112	0.0334838	0.00413887	0.0271687	2
2005	4	1	12	10	0	0.279252	9.35E-07	0.0428847	0.0442182	0.0273827	2
2005	4	1	12	20	0	0.251978	0.0893368	0.0344356	0.025156	0.0272723	2
2005	4	1	12	30	0	0.255696	0.0323778	0.0428175	0.0130791	0.012334	2
2005	4	1	12	40	0	0.206121	0.0473921	0.0382682	0.0337082	0.020147	2
2005	4	1	12	50	0	0.296602	1.63E-06	0.0324543	0.0423803	0.0253625	2
2005	4	1	13	0	0	0.239469	0.00710242	0.0524035	0.0357579	0.0190749	2
2005	4	1	13	10	0	0.252703	0.0160809	0.0298571	0.0996791	0.027614	2
2005	4	1	13	20	0	0.330817	2.78E-06	0.0514319	0.0633664	0.0212015	2
2005	4	1	13	30	0	0.272331	3.53E-05	0.0398032	0.0383143	0.0328863	2
2005	4	1	13	40	0	0.201221	0.105875	0.0240316	0.0752942	0.0203309	2
2005	4	1	13	50	0	0.296691	0.00389743	0.0327722	0.0283007	0.0202112	2
2005	4	1	14	0	0	0.229432	0.121974	0.0292777	0.0500427	0.0149227	2
2005	4	1	14	10	0	0.313305	0.0200116	0.037768	0.0697683	0.0342676	2
2005	4	1	14	20	0	0.321747	6.89E-06	0.0269861	0.0404754	0.0225261	2
2005	4	1	14	30	0	0.35307	3.61E-06	0.0403974	0.0738472	0.0186083	2
2005	4	1	14	40	0	0.312637	0.0272926	0.0351691	0.0563463	0.0287855	2
2005	4	1	14	50	0	0.272021	0.0529326	0.0485249	0.0318003	0.0336633	2
2005	4	1	15	0	0	0.250714	0.0793316	0.0231821	0.0625939	0.0273968	2
2005	4	1	15	10	0	0.324592	3.97E-06	0.0545827	-0.024625	0.0333341	2
2005	4	1	15	20	0	0.387509	6.31E-07	0.0465967	0.00168271	0.0322059	2
2005	4	1	15	30	0	0.352736	0.000166091	0.0435549	0.00276021	0.0226004	2
2005	4	1	15	40	0	0.246483	0.0437917	0.0375977	0.00875202	0.0103227	2
2005	4	1	15	50	0	0.302311	0.00922504	0.0364114	0.00925848	0.026224	2
2005	4	1	16	0	0	0.25324	0.0224709	0.0304978	0.064375	0.0141533	2
2005	4	1	16	10	0	0.28011	0.0181529	0.0442753	0.0199241	0.0150015	2
2005	4	1	16	20	0	0.270381	1.42E-06	0.0570036	0.0737245	0.0247226	2
2005	4	1	16	30	0	0.216143	0.0801745	0.0344091	0.0491605	0.0322962	2
2005	4	1	16	40	0	0.341521	0.0165914	0.0246245	0.0090581	0.02393	2
2005	4	1	16	50	0	0.267245	0.0291694	0.0211859	0.00792052	0.0227649	2
2005	4	1	17	0	0	0.361547	0.0117033	0.0471022	0.000575681	0.0244371	2
2005	4	1	17	10	0	0.183465	0.122543	0.0335294	0.0107739	0.0228998	2
2005	4	1	17	20	0	0.28208	0.0487805	0.0276527	0.0426239	0.0179679	2
2005	4	1	17	30	0	0.285989	3.06E-06	0.035533	0.0322953	0.0181272	2
2005	4	1	17	40	0	0.327859	0.0182301	0.0184772	0.0145846	0.0241959	2
2005	4	1	17	50	0	0.316193	0.00965392	0.0353941	0.0563994	0.0204937	2
2005	4	1	18	0	0	0.299358	1.25E-06	0.0444674	0.0601614	0.019501	2
2005	4	1	18	10	0	0.290766	8.18E-06	0.0857154	-0.00597218	0.0224391	2
2005	4	1	18	20	0	0.243901	0.0650268	0.0271466	0.0252403	0.0245808	2
2005	4	1	18	30	0	0.298377	2.72E-06	0.0403945	0.0321952	0.0224399	2
2005	4	1	18	40	0	0.294639	0.0188191	0.0406155	-0.0034152	0.0223765	2
2005	4	1	18	50	0	0.275332	0.057619	0.0453646	0.0328729	0.0165924	2
2005	4	1	19	0	0	0.248326	0.0509168	0.0282068	0.0467411	0.0357291	2
2005	4	1	19	10	0	0.297647	0.0947059	0.0334107	-0.001548	0.0211688	2
2005	4	1	19	20	0	0.388055	1.53E-06	0.022164	0.0223396	0.020808	2
2005	4	1	19	30	0	0.296417	0.0829359	0.0703976	0.0206324	0.0339841	2
2005	4	1	19	40	0	0.276184	0.117419	0.0370592	-0.00322997	0.0272815	2
2005	4	1	19	50	0	0.188095	0.228706	0.0341418	0.0194242	0.0307496	2
2005	4	1	20	0	0	0.310133	0.153831	0.0563307	0.0270556	0.0339991	2
2005	4	1	20	10	0	0.434329	0.0660487	0.0384938	0.0148365	0.0379497	2
2005	4	1	20	20	0	0.424791	0.136383	0.0656547	0.0188958	0.0347137	2
2005	4	1	20	30	0	0.220264	0.260856	0.052102	0.0478203	0.0411287	2
2005	4	1	20	40	0	0.438051	0.0773927	0.0422683	0.0221339	0.0516622	2
2005	4	1	20	50	0	0.25805	0.278311	0.0350288	0.0129919	0.036547	2
2005	4	1	21	0	0	0.285794	0.25541	0.0376591	0.0376985	0.0435034	2
2005	4	1	21	10	0	0.27952	0.2802	0.0483292	0.0235773	0.0431639	2
2005	4	1	21	20	0	0.360393	0.211911	0.0351391	0.0344353	0.0430225	2
2005	4	1	21	30	0	0.315237	0.328558	0.0338456	0.055746	0.0547616	2
2005	4	1	21	40	0	0.300898	0.355781	0.0223349	0.0481924	0.0479448	2
2005	4	1	21	50	0	0.265938	0.321984	0.0275257	0.0218685	0.0486765	2
2005	4	1	22	0	0	0.310283	0.284578	0.0349074	0.0242417	0.0625001	2
2005	4	1	22	10	0	0.348577	0.240656	0.0498469	0.0213496	0.0598363	2
2005	4	1	22	20	0	0.387483	0.33255	0.0285849	0.023912	0.0553246	2
2005	4	1	22	30	0	0.32098	0.323228	0.0446089	0.0640558	0.059779	2
2005	4	1	22	40	0	0.390768	0.323734	0.0309837	-0.000627794	0.0674834	2
2005	4	1	22	50	0	0.356713	0.365274	0.0370344	0.0222736	0.0549079	2
2005	4	1	23	0	0	0.41686	0.338632	0.0398687	0.00140381	0.0700687	2
2005	4	1	23	10	0	0.439334	0.329367	0.0271248	0.0592462	0.0682524	2
2005	4	1	23	20	0	0.374713	0.415283	0.0376462	0.0211398	0.0603839	2
2005	4	1	23	30	0	0.361548	0.482493	0.058112	0.0333048	0.073087	2
