year	month	day	hour	minute	second	H (W/m2)	LE (W/m2)	Rn (W/m2)	w'theta' (Km/s)	w'q' (gm/kgs)	Precip (mm)	Td (C)	Td (K)	T42	T84	T168	T336	T504	T 67.2 (C)	T42 (K)	T84 (K)	T168 (K)	T336 (K)	T504 (K)	T 67.2 (K)	WS 67.2 (m/s)	WD (deg)	NO 67.2 (ppb)	NOx 67.2 ppb	O3 67.2 (ppb)	H2O 67.2 (ppth)	P amb 0m (hPa)	theta 42	theta 84	theta 168	theta 336	theta 504	theta 67.2 (K)	RHURAS42	RHURAS84	RHURAS168	RHURAS336	RHURAS504	RH URAS 67.2 (%)	q 42	q 84	q 168	q 336	q 504	q 67.2 (g/kg)
2001	8	8	0	15	0	-41.6817	28.4251	NaN	-0.033860032	0.009432587	0	11.72	284.87	14.88	14.97	14.98	15.06	15.02	14.79	288.03	288.12	288.13	288.21	288.17	287.94	6.66	151.8	-0.02	0.93	34.64	13.34	984.68	289.3045879	289.3949862	289.4050305	289.4853845	289.4452075	289.2141897	79.89	78.89	78.11	77.6	77.15	78.09	8.533214234	8.475403861	8.397012069	8.385261904	8.315198642	8.292694722
2001	8	8	0	45	0	-31.202	8.573	NaN	-0.025346872	0.002844865	0	12.27	285.42	15.09	15.14	15.1	15.11	15.03	14.75	288.24	288.29	288.25	288.26	288.18	287.9	5.52	167.82	-0.02	1.04	34.35	13.91	984.71	289.5129946	289.5632154	289.5230387	289.5330829	289.4527296	289.171493	81.57	80.69	80.77	80.15	80.21	81.39	8.831014013	8.763887259	8.750031746	8.688453579	8.650307952	8.620600527
2001	8	8	1	14	0	-20.1641	0.10225	NaN	-0.01638026	3.39306E-05	0	12.61	285.76	14.92	14.92	14.85	14.82	14.71	14.41	288.07	288.07	288	287.97	287.86	287.56	4.72	174.98	0.02	1.2	32.91	14.29	984.72	289.3414034	289.3414034	289.2710945	289.2409621	289.1304766	288.8291525	84.17	83.6	83.8	83.81	84.12	85.82	9.013206847	8.952169329	8.933194895	8.916997404	8.886698109	8.892253788
2001	8	8	1	45	0	-14.8495	-4.5506	NaN	-0.012062957	-0.001510071	0	12.92	286.07	14.84	14.82	14.72	14.69	14.58	14.27	287.99	287.97	287.87	287.84	287.73	287.42	4.94	179.28	0.01	1.23	31.77	14.61	984.8	289.2543297	289.2342419	289.1338029	289.1036712	288.9931883	288.6818273	86.16	85.92	86.39	86.37	86.74	88.4	9.178109277	9.140749064	9.131657477	9.111884826	9.086151599	9.076225959
2001	8	8	2	15	0	-36.5581	9.3228	NaN	-0.029697888	0.003093678	0	13.04	286.19	14.63	14.63	14.58	14.58	14.51	14.23	287.78	287.78	287.73	287.73	287.66	287.38	5.96	195.25	0	1.16	31.62	14.68	984.95	289.0308176	289.0308176	288.9806003	288.9806003	288.9102961	288.6290791	87.94	87.68	87.93	87.65	87.8	89.15	9.240242277	9.212922935	9.209403241	9.180077267	9.15428745	9.128158231
2001	8	8	2	44	0	-50.106	-4.6135	NaN	-0.040703493	-0.001530944	0	12.47	285.62	14.07	14.11	14.2	14.26	14.25	14.02	287.22	287.26	287.35	287.41	287.4	287.17	5.73	201.19	0.01	1.01	33.4	14.15	985.13	288.4533081	288.4934799	288.5838664	288.644124	288.6340811	288.4030935	87.8	87.35	86.92	86.08	85.8	87.05	8.895557333	8.872949958	8.880923564	8.829346308	8.794928685	8.791011252
2001	8	8	3	15	0	-52.4896	-1.6894	NaN	-0.042639805	-0.000560611	0	12.05	285.2	13.65	13.67	13.77	13.81	13.8	13.58	286.8	286.82	286.92	286.96	286.95	286.73	5.98	198.45	-0.03	0.89	34.19	13.79	985.21	288.0248154	288.0449008	288.1453279	288.1854987	288.175456	287.9545165	87.9	87.25	86.78	86.11	86.1	87.19	8.665290017	8.612411777	8.621906193	8.577610885	8.571042727	8.556226688
2001	8	8	3	45	0	-33.7197	7.3424	NaN	-0.02739212	0.002436502	0	11.97	285.12	13.37	13.34	13.44	13.49	13.47	13.22	286.52	286.49	286.59	286.64	286.62	286.37	5.82	196.74	-0.02	0.96	32.98	13.79	985.33	287.7335968	287.7034697	287.8038933	287.8541051	287.8340204	287.5829615	88.68	88.56	87.98	87.85	87.8	89.27	8.583137211	8.554768859	8.554333693	8.569568375	8.553537887	8.5560916
2001	8	8	4	14	0	-27.2235	0.15779	7.67	-0.022114947	5.2361E-05	0	11.84	284.99	13.19	13.17	13.21	13.23	13.2	12.94	286.34	286.32	286.36	286.38	286.35	286.09	5.51	202.9	0	0.94	32.09	13.61	985.51	287.5378125	287.5177289	287.5578962	287.5779799	287.5478544	287.2867667	88.72	88.72	88.43	88.29	88.58	89.77	8.485186689	8.474111293	8.468502968	8.466142959	8.477330811	8.446450716
2001	8	8	4	45	0	-39.517	-5.3106	NaN	-0.032101543	-0.00176227	0	11.47	284.62	13.02	13.04	13.02	13.03	12.99	12.71	286.17	286.19	286.17	286.18	286.14	285.86	5.81	227.04	0.02	0.95	33.17	13.16	985.89	287.335419	287.3555004	287.335419	287.3454597	287.3052968	287.0241565	87.19	87.16	86.83	86.74	86.69	88.37	8.243559427	8.251505988	8.209522481	8.206377205	8.180221795	8.187270319
2001	8	8	5	15	0	-27.0088	6.4297	4.23	-0.021940536	0.002133632	0	11.28	284.43	13.28	13.27	13.16	13.11	13.01	12.69	286.43	286.42	286.31	286.26	286.16	285.84	6.23	219.32	-0.01	0.72	34.73	12.97	986.23	287.568118	287.5580783	287.4476412	287.3974425	287.2970452	286.9757737	85.07	84.89	85.4	85.26	85.48	87.3	8.178065942	8.155438168	8.145723699	8.105849549	8.073816545	8.074755942
2001	8	8	5	44	0	-24.6532	16.0936	14.04	-0.02002697	0.005340501	0	11.36	284.51	13.32	13.29	13.18	13.12	13.02	12.7	286.47	286.44	286.33	286.27	286.17	285.85	5.12	218.49	-0.02	0.68	33.84	13.06	986.44	287.5907644	287.560647	287.4502167	287.3899819	287.2895907	286.9683388	85.16	85.22	85.32	85.68	86.12	87.87	8.206364062	8.196088273	8.146995348	8.149368678	8.13785418	8.131075922
2001	8	8	6	15	0	-6.7706	14.3126	51.59	-0.005500081	0.004749494	0	11.38	284.53	13.56	13.5	13.33	13.25	13.09	12.76	286.71	286.65	286.48	286.4	286.24	285.91	4.9	230.01	-0.01	0.75	32.73	13.05	986.63	287.8158495	287.7556181	287.5849624	287.5046539	287.3440367	287.0127639	83.9	84.11	84.62	84.88	85.4	87.46	8.210820184	8.199268888	8.158077092	8.140538676	8.105268033	8.123457615
2001	8	8	6	45	0	-1.4071	27.963	70.83	-0.001143054	0.009279243	0	11.42	284.57	13.87	13.78	13.61	13.51	13.34	12.99	287.02	286.93	286.76	286.66	286.49	286.14	4.87	238.74	-0.02	0.57	31.9	13.04	986.89	288.1053334	288.0149931	287.8443503	287.7439721	287.5733293	287.2220058	82.58	82.82	83.5	83.89	84.37	86.18	8.244051411	8.219799907	8.196156762	8.180995639	8.137137946	8.123857168
2001	8	8	7	14	0	16.0498	70.2321	112.63	0.013038018	0.023305824	0	11.12	284.27	14.19	14.12	13.92	13.81	13.61	13.26	287.34	287.27	287.07	286.96	286.76	286.41	5.34	249.88	-0.02	0.78	31.95	12.79	986.97	288.419857	288.3495939	288.1488423	288.0384289	287.8376773	287.4863619	79.14	79.21	79.97	80.18	80.97	82.98	8.065711128	8.036302818	8.008808959	7.972667698	7.9471739	7.960768997
2001	8	8	7	45	0	79.8955	81.7959	183.11	0.064902924	0.027143156	0	11.11	284.26	14.76	14.68	14.45	14.3	14.05	13.68	287.91	287.83	287.6	287.45	287.2	286.83	5.68	253.59	0.07	0.88	31.86	12.75	987.11	288.9802762	288.8999788	288.6691238	288.5185662	288.2676368	287.8962614	76.01	76.21	77.02	77.56	78.58	80.74	8.036374592	8.016031767	7.981739841	7.960070281	7.935152833	7.959648395
2001	8	8	8	15	0	72.727	97.5893	185	0.05907961	0.032384038	0	10.95	284.1	15	14.88	14.64	14.49	14.26	13.9	288.15	288.03	287.79	287.64	287.41	287.05	5.98	259.38	0.07	0.83	31.77	12.54	987.33	289.2027356	289.0822971	288.8414203	288.6908723	288.460032	288.0987168	73.99	74.8	75.33	75.24	76.38	77.97	7.942976418	7.968096949	7.901274444	7.815724072	7.816946839	7.795535711
2001	8	8	8	44	0	102.823	150.823	330.18	0.083528026	0.050049112	0	10.34	283.49	15.59	15.46	15.18	14.98	14.7	14.34	288.74	288.61	288.33	288.13	287.85	287.49	5.97	270.82	0.06	0.82	33.66	11.96	987.64	289.7688734	289.6384102	289.3574124	289.1566998	288.875702	288.5144193	68.35	68.44	69.28	69.91	70.59	72.55	7.618572328	7.565270878	7.521627095	7.492968173	7.430501972	7.46118599
