year	month	day	hour	minute	DoY[LT]	 Acetone	 Acetic_Acid	 MVK+MACR	 Hexanals(83)
2008	6	22	0	0	174	0.355	0.087	-0.049	-0.028
2008	6	22	0	30	174.0208333333	0.319	0.087	-0.051	-0.033
2008	6	22	1	0	174.0416666667	0.312	0.101	-0.017	-0.026
2008	6	22	1	30	174.0625	0.309	0.104	-0.019	-0.024
2008	6	22	2	0	174.0833333333	0.327	0.101	-0.021	-0.027
2008	6	22	2	30	174.1041666667	0.337	0.103	-0.012	-0.025
2008	6	22	3	0	174.125	0.362	0.113	0.012	-0.019
2008	6	22	3	30	174.1458333333	0.362	0.122	0.016	-0.017
2008	6	22	4	0	174.1666666667	0.367	0.118	0.006	-0.016
2008	6	22	4	30	174.1875	0.364	0.109	0.007	-0.014
2008	6	22	5	0	174.2083333333	0.368	0.103	0.005	-0.023
2008	6	22	5	30	174.2291666667	0.36	0.11	0.002	-0.018
2008	6	22	6	0	174.25	0.346	0.107	-0.017	-0.024
2008	6	22	6	30	174.2708333333	0.37	0.113	-0.007	-0.021
2008	6	22	7	0	174.2916666667	0.386	0.122	0	-0.015
2008	6	22	7	30	174.3125	0.388	0.136	0	-0.019
2008	6	22	8	0	174.3333333333	0.387	0.134	0.001	-0.017
2008	6	22	8	30	174.3541666667	0.388	0.119	-0.009	-0.018
2008	6	22	9	0	174.375	0.377	0.128	-0.017	-0.02
2008	6	22	9	30	174.3958333333	0.401	0.136	-0.012	-0.017
2008	6	22	10	0	174.4166666667	0.411	0.14	-0.019	-0.022
2008	6	22	10	30	174.4375	0.406	0.146	-0.017	-0.016
2008	6	22	11	0	174.4583333333	0.447	0.136	-0.005	-0.016
2008	6	22	11	30	174.4791666667	0.504	0.136	0.034	-0.012
2008	6	22	12	0	174.5	0.498	0.136	0.052	-0.01
2008	6	22	12	30	174.5208333333	0.513	0.163	0.064	-0.015
2008	6	22	13	0	174.5416666667	0.542	0.189	0.086	-0.011
2008	6	22	13	30	174.5625	0.601	0.235	0.117	0.004
2008	6	22	14	0	174.5833333333	0.639	0.261	0.159	-0.003
2008	6	22	14	30	174.6041666667	0.656	0.264	0.218	0.007
2008	6	22	15	0	174.625	0.629	0.232	0.225	0.008
2008	6	22	15	30	174.6458333333	0.63	0.223	0.239	0.013
2008	6	22	16	0	174.6666666667	0.612	0.203	0.242	0.013
2008	6	22	16	30	174.6875	0.645	0.191	0.217	0.011
2008	6	22	17	0	174.7083333333	0.641	0.17	0.201	0.003
2008	6	22	17	30	174.7291666667	0.605	0.155	0.186	-0.003
2008	6	22	18	0	174.75	0.561	0.15	0.181	-0.005
2008	6	22	18	30	174.7708333333	0.576	0.153	0.179	-0.002
2008	6	22	19	0	174.7916666667	0.61	0.157	0.237	0.008
2008	6	22	19	30	174.8125	0.644	0.191	0.495	0.031
2008	6	22	20	0	174.8333333333	0.605	0.172	0.356	0.013
2008	6	22	20	30	174.8541666667	0.502	0.17	0.185	-0.003
2008	6	22	21	0	174.875	0.44	0.128	0.075	-0.02
2008	6	22	21	30	174.8958333333	0.421	0.099	0	-0.027
2008	6	22	22	0	174.9166666667	0.374	0.085	-0.042	-0.032
2008	6	22	22	30	174.9375	0.368	0.083	-0.054	-0.032
2008	6	22	23	0	174.9583333333	0.352	0.076	-0.077	-0.037
2008	6	22	23	30	174.9791666667	0.344	0.078	-0.071	-0.037
2008	6	23	0	0	175	0.343	0.093	-0.045	-0.031
2008	6	23	0	30	175.0208333333	0.353	0.102	-0.031	-0.038
2008	6	23	1	0	175.0416666667	0.387	0.101	-0.041	-0.035
2008	6	23	1	30	175.0625	0.395	0.101	-0.051	-0.035
2008	6	23	2	0	175.0833333333	0.381	0.095	-0.05	-0.033
2008	6	23	2	30	175.1041666667	0.373	0.1	-0.041	-0.034
2008	6	23	3	0	175.125	0.393	0.106	-0.014	-0.036
2008	6	23	3	30	175.1458333333	0.392	0.149	0.041	-0.022
2008	6	23	4	0	175.1666666667	0.419	0.184	0.074	-0.021
2008	6	23	4	30	175.1875	0.407	0.155	0.063	-0.021
2008	6	23	5	0	175.2083333333	0.392	0.133	0.034	-0.026
2008	6	23	5	30	175.2291666667	0.372	0.123	0.024	-0.027
2008	6	23	6	0	175.25	0.388	0.136	0.012	-0.028
2008	6	23	6	30	175.2708333333	0.372	0.146	0.009	-0.025
2008	6	23	7	0	175.2916666667	0.382	0.161	0.002	-0.025
2008	6	23	7	30	175.3125	0.355	0.153	-0.006	-0.026
2008	6	23	8	0	175.3333333333	0.393	0.16	0.005	-0.025
2008	6	23	8	30	175.3541666667	0.412	0.15	-0.01	-0.024
2008	6	23	9	0	175.375	0.429	0.155	-0.003	-0.027
2008	6	23	9	30	175.3958333333	0.449	0.156	-0.017	-0.023
2008	6	23	10	0	175.4166666667	0.475	0.189	-0.02	-0.027
2008	6	23	10	30	175.4375	0.47	0.213	-0.008	-0.029
2008	6	23	11	0	175.4583333333	0.503	0.213	0.007	-0.013
2008	6	23	11	30	175.4791666667	0.555	0.222	0.024	-0.014
2008	6	23	12	0	175.5	0.571	0.222	0.048	-0.015
2008	6	23	12	30	175.5208333333	0.577	0.247	0.06	-0.011
2008	6	23	13	0	175.5416666667	0.584	0.274	0.113	-0.015
2008	6	23	13	30	175.5625	0.629	0.263	0.159	0.002
2008	6	23	14	0	175.5833333333	0.589	0.257	0.135	-0.002
2008	6	23	14	30	175.6041666667	0.588	0.24	0.123	0.005
2008	6	23	15	0	175.625	0.586	0.246	0.117	-0.003
