month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	24	10	10	176.4236111111	1.24222	0.994744	0.385185	3.17E-07
6	24	10	20	176.4305555556	1.27433	0.767337	0.285839	0.160256
6	24	10	30	176.4375	1.02692	1.12085	0.229318	0.123896
6	24	10	40	176.4444444444	0.984645	1.04123	0.1674	0.100523
6	24	10	50	176.4513888889	0.985808	0.825292	0.059371	0.16445
6	24	11	0	176.4583333333	0.90241	0.804639	0.213754	0.0842318
6	24	11	10	176.4652777778	0.665717	0.967741	0.179883	0.147756
6	24	11	20	176.4722222222	0.738746	0.865006	0.0268975	0.184024
6	24	11	30	176.4791666667	0.739644	1.15151	0.162174	0.111001
6	24	11	40	176.4861111111	0.739108	0.689645	0.253855	0.131658
6	24	11	50	176.4930555556	0.689263	0.9569	0.249786	0.17531
6	24	12	0	176.5	0.759548	0.923995	0.274854	0.147795
6	24	12	10	176.5069444444	0.687115	0.965406	0.186679	0.162501
6	24	12	20	176.5138888889	0.675341	0.966511	0.171139	0.110796
6	24	12	30	176.5208333333	0.80016	0.783724	0.203801	0.140912
6	24	12	40	176.5277777778	0.764255	1.12495	0.186215	0.0569892
6	24	12	50	176.5347222222	0.664746	1.11982	0.198728	0.0418531
6	24	13	0	176.5416666667	0.830222	0.700096	0.123887	0.1493
6	24	13	10	176.5486111111	0.84827	0.802523	0.23623	0.115472
6	24	13	20	176.5555555556	0.887474	0.780397	0.23474	0.127279
6	24	13	30	176.5625	0.831531	0.645304	0.238943	0.137061
6	24	13	40	176.5694444444	0.811375	0.887247	0.247566	0.0891899
6	24	13	50	176.5763888889	0.877276	0.869243	0.151796	0.222723
6	24	14	0	176.5833333333	0.860744	0.960773	0.201936	0.230743
6	24	14	10	176.5902777778	0.692639	1.04138	0.188749	0.349106
6	24	14	20	176.5972222222	0.828068	0.831492	0.232937	0.388239
6	24	14	30	176.6041666667	0.728877	1.28908	0.158565	0.422477
6	24	14	40	176.6111111111	0.823613	0.974782	0.150914	0.495551
6	24	14	50	176.6180555556	0.695425	0.886987	0.203963	0.283541
6	24	15	0	176.625	0.711599	0.878727	0.0963325	0.307431
6	24	15	10	176.6319444444	0.726017	0.730255	0.173001	0.200925
6	24	15	20	176.6388888889	0.720609	0.699975	0.241501	0.220127
6	24	15	30	176.6458333333	0.876146	0.575944	0.196221	0.156353
6	24	15	40	176.6527777778	0.833818	0.713648	0.0659729	0.204961
6	24	15	50	176.6597222222	0.758422	0.853298	0.0651936	0.121965
6	24	16	0	176.6666666667	0.85511	0.504765	0.241092	0.13441
6	24	16	10	176.6736111111	0.797256	0.715912	0.200531	0.196073
6	24	16	20	176.6805555556	0.758687	0.997423	0.117943	0.107554
6	24	16	30	176.6875	0.906651	0.842782	0.135261	0.135932
6	24	16	40	176.6944444444	0.832638	0.811109	0.147288	0.141387
6	24	16	50	176.7013888889	0.765741	0.913259	0.171359	0.191678
6	24	17	0	176.7083333333	0.712663	0.872831	0.181043	0.162145
6	24	17	10	176.7152777778	0.776452	0.951808	0.161289	0.103378
6	24	17	20	176.7222222222	0.67143	1.0866	0.129444	0.127067
6	24	17	30	176.7291666667	0.60331	1.30429	0.180894	0.13985
6	24	17	40	176.7361111111	0.743058	1.38029	0.0989005	0.271943
6	24	17	50	176.7430555556	0.610696	1.30186	0.136366	0.196311
6	24	18	0	176.75	0.716884	1.00414	0.182944	0.118818
6	24	18	10	176.7569444444	0.663846	1.14888	0.0933847	0.196622
6	24	18	20	176.7638888889	0.537388	1.15446	0.141462	0.156527
6	24	18	30	176.7708333333	0.56232	1.16529	0.118108	0.143495
6	24	18	40	176.7777777778	0.513188	1.15459	0.138831	0.107179
6	24	18	50	176.7847222222	0.464016	1.07594	0.145461	0.154084
6	24	19	0	176.7916666667	0.509751	1.17338	0.0573444	0.167803
6	24	19	10	176.7986111111	0.398464	1.26055	0.110189	0.104185
6	24	19	20	176.8055555556	0.630981	1.00071	0.0628685	0.0841298
6	24	19	30	176.8125	0.514504	1.13508	0.0738498	0.146846
6	24	19	40	176.8194444444	0.495207	1.16423	0.0596381	0.110744
6	24	19	50	176.8263888889	0.474049	1.19987	0.0857529	0.185222
6	24	20	0	176.8333333333	0.534058	1.08753	0.0962888	0.138963
6	24	20	10	176.8402777778	0.486917	1.14833	0.0997761	0.170746
6	24	20	20	176.8472222222	0.412443	1.16999	0.098328	0.243619
6	24	20	30	176.8541666667	0.423489	1.28725	0.0836745	0.189261
6	24	20	40	176.8611111111	0.419948	1.57737	0.0201613	0.224108
6	24	20	50	176.8680555556	0.471083	1.393	0.111955	0.175365
6	24	21	0	176.875	0.520115	1.51117	0.106824	0.117347
6	24	21	10	176.8819444444	0.407995	1.55831	0.121038	0.142749
6	24	21	20	176.8888888889	0.442537	1.43134	0.108596	0.188654
6	24	21	30	176.8958333333	0.376393	1.62323	0.117906	0.254171
6	24	21	40	176.9027777778	0.533263	1.41192	0.121285	0.169432
