46, 1001
Ann Middlebrook
NOAA ESRL CSD
C-ToF AMS Instrument 
SENEX 2013
1, 1
2013, 06, 11, 2014, 02, 10
1
AOCTimewave, seconds_past_midnight, AOCTimewave
7
1, 1, 1, 1, 1, 1, 1
-9999, -9999, -9999, -9999, -9999, -9999, -9999
AMS_SO4, microgram_per_standard_cubic_meter_of_air, AMSSulfate
AMS_NO3, microgram_per_standard_cubic_meter_of_air, AMSNitrate
AMS_NH4, microgram_per_standard_cubic_meter_of_air, AMSAmmonium
AMS_Org, microgram_per_standard_cubic_meter_of_air, AMSOrganic
AMS_Chl, microgram_per_standard_cubic_meter_of_air, AMSChloride
AMS_Total, microgram_per_standard_cubic_meter_of_air, AMSTotal
AMS_SiliconeFlag, none, AMSSiliconeFlag
5
Data are 10 second averages, given with the AMS mid-time timestamp. 
New ionization efficiency calibrations and composition dependend collection efficiencies have been applied.
Data have been time-aligned with vfine.
Flag provided for times when silicone was present and those data points were removed.
Flags for higher uncertainty or in-cloud data are not included. 
20
PI_CONTACT_INFO: Email: Ann.M.Middlebrook@noaa.gov
PLATFORM: Platform: NOAA WP-3D
LOCATION: Location: The aircraft was stationed in Smyrna, TN. Aircraft location information is in AircraftPos file.
ASSOCIATED_DATA: N/A
INSTRUMENT_INFO: Jayne et al., Aerosol Sci. Technol., 33, 49-70, 2000. Jimenez et al., J. Geophys. Res., 108(D7), 8425, doi: 10.1029/2001JD001212, 2003. Bahreini et al., J. Geophys. Res., 108, ACE 13, doi: 10.1029/2002JD003226, 2003. Drewnick et al., Aerosol Sci. Technol., 39, 637-658, 2005. DeCarlo et al., Anal. Chem., doi: 10.1021/ac061249n, 2006.
DATA_INFO: Realtime 10 s data; units: micrograms per standard cubic meter of air
UNCERTAINTY: +/- 30%
ULOD_FLAG: -7777
ULOD_VALUE: N/A
LLOD_FLAG: -8888
LLOD_VALUE: AMS_SO4=0.06, AMS_NO3=0.15, AMS_NH4=0.27, AMS_Org=0.37, AMS_Chl=0.11, AMS_Total=0.49
DM_CONTACT_INFO: Data Manager: Ken Aikin; email:Kenneth.C.Aikin@noaa.gov
PROJECT_INFO: Project Info: SENEX, June-July, 2013
STIPULATIONS_ON_USE: Use of these data require prior ok from PI.
OTHER_COMMENTS: Mass distributions available upon request.
REVISION: 0
R0: Final Data.
RB: New IE calibrations have been applied. For intermediate use only.
RA: Preliminary Data.  For in-field use only.
AOCTimewave, AMS_SO4, AMS_NO3, AMS_NH4, AMS_Org, AMS_Chl, AMS_Total, AMS_SiliconeFlag
59380,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59381,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59382,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59383,1.08,0.23,0.76,6.72,-9999.00,8.80,-9999
59384,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59385,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59386,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59387,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59388,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59389,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59390,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59391,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59392,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59393,0.91,0.32,0.50,5.46,-9999.00,7.21,-9999
59394,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59395,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59396,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59397,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59398,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59399,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59400,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59401,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59402,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59403,0.93,0.19,0.63,5.35,-9999.00,7.07,-9999
59404,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59405,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59406,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59407,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59408,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59409,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
