Start_LT	aPinene	bPinene	Isoprene	Limonene	Myrcene	O3	OH	nitrateSSfromben
3452893200								
3452893500								
3452893800								
3452894100								
3452894400								
3452894700								
3452895000								
3452895300								
3452895600								
3452895900								
3452896200								
3452896500								
3452896800								
3452897100								
3452897400								
3452897700								
3452898000								
3452898300								
3452898600								
3452898900								
3452899200								
3452899500								
3452899800								
3452900100								
3452900400								
3452900700								
3452901000								
3452901300								
3452901600								
3452901900								
3452902200								
3452902500								
3452902800								
3452903100								
3452903400								
3452903700								
3452904000								
3452904300								
3452904600								
3452904900								
3452905200								
3452905500								
3452905800								
3452906100								
3452906400								
3452906700								
3452907000								
3452907300								
3452907600								
3452907900								
3452908200								
3452908500								
3452908800								
3452909100								
3452909400								
3452909700								
3452910000								
3452910300								
3452910600								
3452910900								
3452911200								
3452911500								
3452911800								
3452912100								
3452912400								
3452912700								
3452913000								
3452913300								
3452913600								
3452913900								
3452914200								
3452914500								
3452914800								
3452915100								
3452915400								
3452915700								
3452916000								
3452916300								
3452916600								
3452916900								
3452917200								
3452917500								
3452917800								
3452918100								
3452918400								
3452918700								
3452919000								
3452919300								
3452919600								
3452919900								
3452920200								
3452920500								
3452920800								
3452921100								
3452921400								
3452921700								
3452922000								
3452922300								2.8486764e-05
3452922600								4.2619635e-05
3452922900								4.6659698e-05
3452923200								4.4100605e-05
3452923500								4.4156546e-05
3452923800								5.3581098e-05
3452924100								4.9483198e-05
3452924400								5.0515438e-05
3452924700								8.3162086e-05
3452925000								7.034256100000001e-05
3452925300								0.00016556482
3452925600								0.00013282183
3452925900								9.0257221e-05
3452926200								8.565771000000001e-05
3452926500								0.000108791
3452926800								0.00010458621
3452927100								8.9265399e-05
3452927400								7.505079e-05
3452927700								0.00011181401
3452928000								7.106188399999999e-05
3452928300								0.0001002235
3452928600								0.00014592262
3452928900								6.0648774e-05
3452929200								6.0648927e-05
3452929500								8.536909400000001e-05
3452929800								4.3390362e-05
3452930100								4.2061511e-05
3452930400								5.8818408e-05
3452930700								7.997076999999999e-05
3452931000								8.393925200000001e-05
3452931300								7.662567099999999e-05
3452931600								7.318369900000001e-05
3452931900								7.0528644e-05
3452932200								7.7950477e-05
3452932500								7.2498209e-05
3452932800								7.2228468e-05
3452933100								8.548762700000001e-05
3452933400								8.232909e-05
3452933700								7.6859382e-05
3452934000								5.1441501e-05
3452934300								4.2342956e-05
3452934600								4.0572912e-05
3452934900								3.2804506e-05
3452935200								7.1554787e-05
3452935500								4.4091154e-05
3452935800								
3452936100								
3452936400								
3452936700								
3452937000								4.0815034e-05
3452937300								4.1167536e-05
3452937600								4.4258984e-05
3452937900								3.5030851e-05
3452938200								3.4456159e-05
3452938500								4.6162277e-05
3452938800								4.7831796e-05
3452939100								5.4172124e-05
3452939400								6.0585091e-05
3452939700								5.3609576e-05
3452940000								5.5758013e-05
3452940300								6.1809151e-05
3452940600								6.3684616e-05
3452940900								5.2833489e-05
3452941200								4.9413833e-05
3452941500								5.5509197e-05
3452941800								6.259315e-05
3452942100								7.196893399999999e-05
3452942400								6.704485e-05
3452942700								7.0604787e-05
3452943000								7.1136987e-05
3452943300								9.3703064e-05
3452943600								0.00015450685
3452943900								0.00026099131
3452944200								0.0002447296
3452944500								0.00028474806
3452944800								0.00043868899
3452945100								0.00048624646
3452945400								0.00041870118
3452945700								0.00032644678
3452946000								0.00027232131
3452946300								0.00033778496
3452946600								0.00028518122
3452946900								0.00026262319
3452947200								0.00022691702
3452947500	0.2261999944845835	0.1792833295961221	7.988433122634888	0.08463333547115326	0.0100000003973643			0.00017100651
3452947800	0.211599995692571	0.1669666642944018	7.539566516876221	0.07666666805744171	0.00930000034471353			0.00015982742
3452948100	0.1969999969005585	0.1546499989926815	7.090699911117554	0.06870000064373016	0.008600000292062759			0.00014735943
3452948400	0.182399998108546	0.1423333336909612	6.641833305358887	0.06073333323001862	0.007900000239411989			0.00019328797
3452948700	0.1677999993165334	0.1300166683892409	6.19296669960022	0.05276666581630707	0.007200000186761221			0.00018677893
3452949000	0.1532000005245209	0.1177000030875206	5.744100093841553	0.04479999840259552	0.006500000134110451			0.00019366264
3452949300	0.1614000002543131	0.1239000024894873	5.8997167746226	0.0475999986131986	0.006850000160435836			0.0001638289
3452949600	0.1695999999841054	0.1301000018914541	6.055333455403646	0.05039999882380167	0.00720000018676122			0.0001852351
3452949900	0.1777999997138977	0.1363000012934208	6.210950136184692	0.05319999903440475	0.007550000213086605			0.00020197179
3452950200	0.18599999944369	0.1425000006953875	6.366566816965739	0.05599999924500784	0.007900000239411989			0.00012713431
3452950500	0.1941999991734823	0.1487000000973543	6.522183497746785	0.05879999945561091	0.008250000265737375			0.0001369096
3452950800	0.2023999989032745	0.154899999499321	6.677800178527832	0.06159999966621399	0.008600000292062759			0.0001311619
3452951100	0.1977166657646497	0.1486166665951411	6.272516806920369	0.05811666635175546	0.008266666904091835			7.7038305e-05
3452951400	0.1930333326260249	0.1423333336909612	5.867233435312907	0.05463333303729693	0.007933333516120911			6.6213375e-05
3452951700	0.1883499994874001	0.1360500007867813	5.461950063705444	0.0511499997228384	0.007600000128149986			4.106612e-05
3452952000	0.1836666663487752	0.1297666678826014	5.056666692097982	0.04766666640837987	0.007266666740179062			5.072881e-05
3452952300	0.1789833332101504	0.1234833349784215	4.65138332049052	0.04418333309392135	0.006933333352208138			5.3026124e-05
3452952600	0.1743000000715256	0.1172000020742416	4.246099948883057	0.04069999977946281	0.006599999964237213			9.0675494e-05
3452952900	0.1812166670958201	0.1180500015616417	3.880816618601481	0.0421666664381822	0.006633333318556349			
3452953200	0.1881333341201147	0.1189000010490417	3.515533288319905	0.04363333309690157	0.006666666672875484			
3452953500	0.1950500011444092	0.1197500005364418	3.15024995803833	0.04509999975562096	0.006700000027194619			
