IEPOX_SOA_com_d_sdev,IEPOX_SOA_com_d_avg,diurnal_time_wave_hour_num,ISOPOOH_SOA_com_d_sdev,ISOPOOH_SOA_com_d_avg,MOOOA_com_d_sdev,MOOOA_com_d_avg,LOOOA_com_d_sdev,LOOOA_com_d_avg,BBOA_com_d_sdev,BBOA_com_d_avg,,SOA,,,
0.569739,0.683181,0,0.0665613,0.080015,0.724735,1.0417,0.481142,1.11518,0.0506388,0.0418664,,2.9619424,,,
0.673177,0.795571,1,0.0616238,0.0677255,0.800919,1.10685,0.495013,1.1799,0.049402,0.0425054,,3.1925519,,,
0.598269,0.638159,2,0.061112,0.0638409,0.711997,0.947209,0.515235,1.2444,0.0378084,0.0315809,,2.9251898,,,
0.669534,0.656903,3,0.0433813,0.0452814,0.740888,0.881363,0.52131,1.27987,0.0412714,0.0349991,,2.8984165,,,
0.58472,0.647191,4,0.0384571,0.0426265,0.911286,0.963294,0.460386,1.36551,0.0893759,0.0769137,,3.0955352,,,
0.686312,0.684905,5,0.0398615,0.045912,0.709001,0.795804,0.416891,1.42104,0.0894977,0.0733468,,3.0210078,,,0.8691508
0.614321,0.611051,6,0.0587383,0.0741701,0.728582,0.718869,0.486658,1.44703,0.118359,0.0966299,,2.94775,2.6845011,,0.8154989
0.599959,0.672327,7,0.0573891,0.0648936,0.670009,0.926785,0.472639,1.56558,0.0693408,0.0962201,,3.3258057,,,1.0230051
0.436995,0.600312,8,0.0659237,0.0677053,0.991624,1.15829,0.55337,1.37452,0.131813,0.133778,,3.3346053,,,1.292068
0.357402,0.735332,9,0.0723413,0.0838939,1.21618,1.43359,0.454356,0.94773,0.169287,0.17006,,3.3706059,,,
0.475975,0.799219,10,0.0749224,0.133343,1.46049,1.60153,0.339808,0.855985,0.362813,0.218261,,3.608338,,,
0.647579,0.833909,11,0.0766057,0.15174,1.91217,2.15586,0.287452,1.04986,0.395858,0.274391,,4.46576,,,
0.596647,0.870167,12,0.0611248,0.175685,1.74691,2.1474,0.201116,0.957184,0.330536,0.198805,,4.349241,,,
0.637853,0.908493,13,0.0869531,0.148663,1.70095,2.18289,0.255695,0.781991,0.32977,0.1929,,4.214937,,,
0.579738,0.972237,14,0.0932328,0.135318,1.45377,2.01191,0.244696,0.667145,0.209737,0.119141,,3.905751,,,
0.605758,1.20585,15,0.110492,0.140394,1.41492,1.94302,0.271415,0.522907,0.14338,0.106071,,3.918242,,,
0.724799,1.59234,16,0.079625,0.113626,1.16557,2.08509,0.265323,0.51108,0.119112,0.112209,,4.414345,,,
0.155801,1.48551,17,0.0872776,0.108224,0.623233,1.44246,0.418862,0.678582,0.104811,0.105444,,3.82022,,,
0.822633,1.5452,18,0.10743,0.114008,1.17674,1.91233,0.284951,0.622071,0.142364,0.141178,,4.334787,,,
0.706693,1.27538,19,0.0473915,0.0408243,0.989073,2.09891,0.260173,0.786769,0.202317,0.123764,,4.3256473,,,
0.755307,1.23572,20,0.055703,0.0587555,0.945912,1.94272,0.38945,0.890567,0.219176,0.0994437,,4.2272062,,,
0.906988,1.21927,21,0.0557559,0.0783028,1.31487,1.80219,0.446146,1.1436,0.259035,0.140646,,4.3840088,,,
0.86502,1.02033,22,0.0716943,0.0689969,1.26762,1.53163,0.454079,1.07222,0.200263,0.105526,,3.7987029,,,
0.710742,0.995532,23,0.0542481,0.0687668,0.888215,1.39511,0.607181,1.34692,0.196944,0.0965224,,3.9028512,,,
0.569739,0.683181,24,0.0665613,0.080015,0.724735,1.0417,0.481142,1.11518,0.0506388,0.0418664,,2.9619424,,,
,23.36727,300,1.6944069,2.2527265,26.990399,37.268504,10.064489,25.942821,4.1135488,2.8740688,0,91.7053903,,,
,25.48080317,,,2.456482103,,40.63938213,,28.28930875,,3.134023846,,,,,
