IEPOX_SOA_sdev	IEPOX_SOA_avg	time	ISOPsdev	ISOPSOA_avg	MOOOA_sdev	MOOOA_avg	LOOOA_sdev	LOOOA_avg	BBOA_sdev	BBOA_avg	Local SOA avg	Local SOA std
0.569739	0.683181	00	0.0665613	0.080015	0.724735	1.041700	0.481142	1.11518		0.0506388	0.0418664	1.878376	1.2623893
0.673177	0.795571	1	0.0616238	0.0677255	0.800919	1.106850	0.495013	1.179900	0.049402	0.0425054	2.0431965	1.3899976
0.598269	0.638159	2	0.061112	0.0638409	0.711997	0.947209	0.515235	1.244400	0.0378084	0.0315809	1.9463999	1.3170154
0.669534	0.656903	3	0.0433813	0.0452814	0.740888	0.881363	0.521310	1.279870	0.0412714	0.0349991	1.9820544	1.3824029
0.584720	0.647191	4	0.0384571	0.0426265	0.911286	0.963294	0.460386	1.365510	0.0893759	0.0769137	2.0553275	1.2658203
0.686312	0.684905	5	0.0398615	0.045912	0.709001	0.795804	0.416891	1.421040	0.0894977	0.0733468	2.151857	1.2848647
0.614321	0.611051	6	0.0587383	0.0741701	0.728582	0.718869	0.486658	1.447030	0.118359	0.0966299	2.1322511	1.3054337
0.599959	0.672327	7	0.0573891	0.0648936	0.670009	0.926785	0.472639	1.565580	0.0693408	0.0962201	2.3028006	1.2639889
0.436995	0.600312	8	0.0659237	0.0677053	0.991624	1.158290	0.553370	1.374520	0.131813	0.133778	2.0425373	1.2546135
0.357402	0.735332	9	0.0723413	0.0838939	1.216180	1.433590	0.454356	0.947730	0.169287	0.170060	1.7669559	1.1273353
0.475975	0.799219	10	0.0749224	0.133343	1.460490	1.60153		0.339808	0.855985	0.362813	0.218261	1.788547	1.1828034
0.647579	0.833909	11	0.0766057	0.151740	1.912170	2.155860	0.287452	1.049860	0.395858	0.274391	2.035509	1.3940707
0.596647	0.870167	12	0.0611248	0.175685	1.746910	2.147400	0.201116	0.957184	0.330536	0.198805	2.003036	1.2082698
0.637853	0.908493	13	0.0869531	0.148663	1.700950	2.182890	0.255695	0.781991	0.329770	0.192900	1.839147	1.3206911
0.579738	0.972237	14	0.0932328	0.135318	1.453770	2.011910	0.244696	0.667145	0.209737	0.119141	1.774700	1.2084208
0.605758	1.205850	15	0.110492	0.140394	1.414920	1.943020	0.271415	0.522907	0.143380	0.106071	1.869151	1.270649
0.724799	1.592340	16	0.079625	0.113626	1.165570	2.085090	0.265323	0.511080	0.119112	0.112209	2.217046	1.302861
0.155801	1.485510	17	0.0872776	0.108224	0.623233	1.442460	0.418862	0.678582	0.104811	0.105444	2.272316	0.7865872
0.822633	1.545200	18	0.107430	0.114008	1.176740	1.912330	0.284951	0.622071	0.142364	0.141178	2.281279	1.450362
0.706693	1.275380	19	0.0473915	0.0408243	0.989073	2.098910	0.260173	0.786769	0.202317	0.123764	2.1029733	1.2120721
0.755307	1.235720	20	0.055703	0.0587555	0.945912	1.942720	0.389450	0.890567	0.219176	0.0994437	2.1850425	1.3896424
0.906988	1.219270	21	0.0557559	0.0783028	1.314870	1.802190	0.446146	1.143600	0.259035	0.140646	2.4411728	1.6718639
0.865020	1.020330	22	0.0716943	0.0689969	1.267620	1.531630	0.454079	1.072220	0.200263	0.105526	2.1615469	1.6443173
0.710742	0.995532	23	0.0542481	0.0687668	0.888215	1.395110	0.607181	1.346920	0.196944	0.0965224	2.4112188	1.5498141
0.569739	0.683181	24	0.0665613	0.080015	0.724735	1.041700	0.481142	1.115180	0.0506388	0.0418664	1.878376	1.2623893
