HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
		3453321648
		3453321863
		3453321995
		3453322093
		3453322224
		3453322332
		3453322463
		3453322573
		3453322703
		3453322813
		3453322944
		3453323053
		3453323183
		3453323293
		3453323424
		3453323533
		3453323663
		3453323773
		3453323904
		3453324013
		3453324144
		3453324253
		3453324383
		3453324493
		3453324624
		3453324733
		3453324863
		3453324973
		3453325104
		3453325213
		3453325343
		3453325453
		3453325584
		3453325693
		3453325824
		3453325933
		3453326064
		3453326173
		3453326303
		3453326413
		3453326544
		3453326653
		3453326784
		3453326893
		3453327024
		3453327133
		3453327264
		3453327373
		3453327504
		3453327613
		3453327744
		3453327853
		3453327984
		3453328093
		3453328224
		3453328333
		3453328464
		3453328573
		3453328704
		3453328813
		3453328944
		3453329053
		3453329184
		3453329293
		3453329424
		3453329533
		3453329664
		3453329773
		3453329903
		3453330013
		3453330143
		3453330253
		3453330383
		3453330493
		3453330624
		3453330733
		3453330864
		3453330973
		3453331103
		3453331213
		3453331343
		3453331453
		3453331583
		3453331693
		3453331823
		3453331933
		3453332063
		3453332173
		3453332304
		3453332413
		3453332543
		3453332653
		3453332783
		3453332893
		3453333023
		3453333133
		3453333263
		3453333373
		3453333503
		3453333613
		3453333744
		3453333853
		3453333983
		3453334093
		3453334223
		3453334333
		3453334464
		3453334573
		3453334703
		3453334813
		3453334943
		3453335053
		3453335183
		3453335293
		3453335423
		3453335533
		3453335663
		3453335773
		3453335904
		3453336013
		3453336144
		3453336253
		3453336384
		3453336493
		3453336623
		3453336733
		3453336863
		3453336973
		3453337103
		3453337213
		3453337343
		3453337453
		3453337583
		3453337693
		3453337823
		3453337933
		3453338063
		3453338173
		3453338304
		3453338413
		3453338543
		3453338653
		3453338784
		3453338893
		3453339024
		3453339132
		3453339263
		3453339373
		3453339503
		3453339613
		3453339743
		3453339853
		3453339983
		3453340093
		3453340223
		3453340333
		3453340463
		3453340573
		3453340704
		3453340813
		3453340943
		3453341053
		3453341183
		3453341293
		3453341424
		3453341533
		3453341664
		3453341773
		3453341903
		3453342013
		3453342143
		3453342253
		3453342383
		3453342493
		3453342623
		3453342733
		3453342863
		3453342973
		3453343103
		3453343213
		3453343343
		3453343453
		3453343583
		3453343693
		3453343824
		3453343933
		3453344063
		3453344173
		3453344303
		3453344413
		3453344543
		3453344653
		3453344783
		3453344893
		3453345023
		3453345133
		3453345263
		3453345373
		3453345503
		3453345612
		3453345743
		3453345853
		3453345984
		3453346093
		3453346223
		3453346333
		3453346463
		3453346573
		3453346703
		3453346813
		3453346943
		3453347053
		3453347183
		3453347293
		3453347424
		3453347533
		3453347663
		3453347773
		3453347903
		3453348012
		3453348143
		3453348253
		3453348383
		3453348493
		3453348623
		3453348733
		3453348863
		3453348973
		3453349103
		3453349213
		3453349343
		3453349453
		3453349584
		3453349693
		3453349823
		3453349933
		3453350063
		3453350173
		3453350303
		3453350413
		3453350543
		3453350653
		3453350784
		3453350893
		3453351023
		3453351132
		3453351263
		3453351373
		3453351503
		3453351613
		3453351743
		3453351853
		3453351983
		3453352093
		3453352223
		3453352333
		3453352463
		3453352573
		3453352703
		3453352813
		3453352943
		3453353053
		3453353184
		3453353293
		3453353423
		3453353533
		3453353664
		3453353773
		3453353903
		3453354013
		3453354143
		3453354253
		3453354383
		3453354493
		3453354623
		3453354733
		3453354863
		3453354973
		3453355103
		3453355213
		3453355343
		3453355453
		3453355584
		3453355693
		3453355824
		3453355933
		3453356063
		3453356173
		3453356303
