IEPOX-SOA	LO-OOA	MO-OOA	BBOA	ISOPOOH-SOA	T_series_start	T_series_end
					5-6-2013 00:00	5-6-2013 00:04
					5-6-2013 00:04	5-6-2013 00:08
					5-6-2013 00:08	5-6-2013 00:12
					5-6-2013 00:12	5-6-2013 00:16
					5-6-2013 00:16	5-6-2013 00:20
					5-6-2013 00:20	5-6-2013 00:24
					5-6-2013 00:24	5-6-2013 00:28
					5-6-2013 00:28	5-6-2013 00:32
					5-6-2013 00:32	5-6-2013 00:36
					5-6-2013 00:36	5-6-2013 00:40
					5-6-2013 00:40	5-6-2013 00:44
					5-6-2013 00:44	5-6-2013 00:48
					5-6-2013 00:48	5-6-2013 00:52
					5-6-2013 00:52	5-6-2013 00:56
					5-6-2013 00:56	5-6-2013 01:00
					5-6-2013 01:00	5-6-2013 01:04
					5-6-2013 01:04	5-6-2013 01:08
					5-6-2013 01:08	5-6-2013 01:12
					5-6-2013 01:12	5-6-2013 01:16
					5-6-2013 01:16	5-6-2013 01:20
					5-6-2013 01:20	5-6-2013 01:24
					5-6-2013 01:24	5-6-2013 01:28
					5-6-2013 01:28	5-6-2013 01:32
					5-6-2013 01:32	5-6-2013 01:36
					5-6-2013 01:36	5-6-2013 01:40
					5-6-2013 01:40	5-6-2013 01:44
					5-6-2013 01:44	5-6-2013 01:48
					5-6-2013 01:48	5-6-2013 01:52
					5-6-2013 01:52	5-6-2013 01:56
					5-6-2013 01:56	5-6-2013 02:00
					5-6-2013 02:00	5-6-2013 02:04
					5-6-2013 02:04	5-6-2013 02:08
					5-6-2013 02:08	5-6-2013 02:12
					5-6-2013 02:12	5-6-2013 02:16
					5-6-2013 02:16	5-6-2013 02:20
					5-6-2013 02:20	5-6-2013 02:24
					5-6-2013 02:24	5-6-2013 02:28
					5-6-2013 02:28	5-6-2013 02:32
					5-6-2013 02:32	5-6-2013 02:36
					5-6-2013 02:36	5-6-2013 02:40
					5-6-2013 02:40	5-6-2013 02:44
					5-6-2013 02:44	5-6-2013 02:48
					5-6-2013 02:48	5-6-2013 02:52
					5-6-2013 02:52	5-6-2013 02:56
