AOCTimewave, AmbTemp, DewPtTemp, DewPtTempTDL, H2Omr, PotTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd
59380,28.26,21.632,-23.831,16.44,301.19,66.45,1002.69,1.43,151.03,1.61
59381,28.237,21.676,-23.832,16.48,301.14,66.73,1002.94,1.22,157.75,1.45
59382,28.327,21.676,-23.831,16.49,301.26,66.37,1002.7,0.77,171.17,2.06
59383,28.229,21.605,-23.831,16.43,301.25,66.46,1001.63,0.44,179.11,2.54
59384,28.042,21.463,-23.831,16.31,301.19,66.62,1000.13,0.15,212.52,2.03
59385,27.91,21.359,-23.832,16.22,301.15,66.72,999.04,-0.69,241.57,2.52
59386,27.911,21.311,-23.833,16.19,301.21,66.51,998.33,-0.98,229.73,1.83
59387,27.995,21.238,-23.832,16.12,301.32,65.87,998.12,0.09,186.45,1.85
59388,28.037,21.111,-23.833,15.99,301.37,65.18,997.97,0.29,176.45,1.56
59389,28.07,21.109,-23.833,16,301.49,65.04,997.01,0.62,278.51,0.43
59390,28.142,21.111,-23.832,16.02,301.63,64.76,996.21,0.18,275.75,2.03
59391,28.062,21.072,-23.83,15.99,301.59,64.92,995.67,-0.26,257.23,2.77
59392,28.026,21.026,-23.829,15.95,301.62,64.87,995.01,0.02,232.37,3.08
59393,27.979,20.948,-23.829,15.88,301.6,64.74,994.65,0.36,220.27,2.48
59394,27.77,20.853,-23.829,15.8,301.45,65.17,993.91,-0.7,250.62,3.43
59395,27.692,20.76,-23.828,15.71,301.42,65.09,993.36,-0.02,253.95,2.33
59396,27.662,20.539,-23.829,15.51,301.45,64.31,992.75,0.07,245.92,3.18
59397,27.638,20.389,-23.829,15.37,301.46,63.79,992.34,-0.25,247.61,4.88
59398,27.588,20.273,-23.828,15.27,301.47,63.52,991.61,-0.37,247.61,5.53
59399,27.425,20.254,-23.827,15.26,301.37,64.07,990.84,1.48,270.46,5.39
59400,27.258,20.204,-23.828,15.23,301.31,64.53,989.62,0.7,301.18,3.98
59401,26.98,20.251,-23.827,15.29,301.11,65.82,988.72,-0.97,300.76,3.58
59402,26.776,20.326,-23.826,15.37,300.93,66.97,988.43,-1.47,295,4.47
59403,26.707,20.404,-23.825,15.45,300.9,67.58,988.01,-0.53,301.26,3.64
59404,26.636,20.452,-23.825,15.51,300.9,68.08,987.19,-0.27,314.51,3.08
59405,26.592,20.524,-23.826,15.59,300.89,68.57,986.77,-0.83,309.45,2.76
59406,26.467,20.523,-23.828,15.6,300.83,69.09,986,-0.82,318.12,3.39
59407,26.424,20.596,-23.828,15.68,300.83,69.59,985.59,-0.86,311.83,2.55
