xGC_Date_Time_UTC, xGC_Date_Time_CDT, xGC_Date_Time_CST, ppb64_Isoprene, ppb105_MACR_m70, ppb120_MVK, ppb233_Pinene_alpha, ppb241_BZ_1ET_34_MT, ppb243_Pinene_beta, ppb258_Limonene,MT
18000,0,-3600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
19800,1800,-1800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
21600,3600,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
23400,5400,1800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
25200,7200,3600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
27000,9000,5400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
28800,10800,7200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
30600,12600,9000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
32400,14400,10800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
34200,16200,12600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
36000,18000,14400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
37800,19800,16200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
39600,21600,18000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
41400,23400,19800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
43200,25200,21600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
45000,27000,23400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
46800,28800,25200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
48600,30600,27000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
50400,32400,28800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
52200,34200,30600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
54000,36000,32400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
55800,37800,34200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
57600,39600,36000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-29997
